[2021-08-02 20:29:25.593150] PING 172.16.0.2 (172.16.0.2) 56(84) bytes of data.
[2021-08-02 20:30:07.708683] 64 bytes from 172.16.0.2: icmp_seq=786 ttl=64 time=21.8 ms
[2021-08-02 20:30:07.909558] 64 bytes from 172.16.0.2: icmp_seq=787 ttl=64 time=21.6 ms
[2021-08-02 20:30:08.113935] 64 bytes from 172.16.0.2: icmp_seq=788 ttl=64 time=25.1 ms
[2021-08-02 20:30:08.313082] 64 bytes from 172.16.0.2: icmp_seq=789 ttl=64 time=24.0 ms
[2021-08-02 20:30:08.516704] 64 bytes from 172.16.0.2: icmp_seq=790 ttl=64 time=27.3 ms
[2021-08-02 20:30:08.747430] 64 bytes from 172.16.0.2: icmp_seq=791 ttl=64 time=57.2 ms
[2021-08-02 20:30:08.930241] 64 bytes from 172.16.0.2: icmp_seq=792 ttl=64 time=39.6 ms
[2021-08-02 20:30:09.135554] 64 bytes from 172.16.0.2: icmp_seq=793 ttl=64 time=43.6 ms
[2021-08-02 20:30:09.348333] 64 bytes from 172.16.0.2: icmp_seq=794 ttl=64 time=55.7 ms
[2021-08-02 20:30:09.520641] 64 bytes from 172.16.0.2: icmp_seq=795 ttl=64 time=27.3 ms
[2021-08-02 20:30:09.731302] 64 bytes from 172.16.0.2: icmp_seq=796 ttl=64 time=37.4 ms
[2021-08-02 20:30:09.922839] 64 bytes from 172.16.0.2: icmp_seq=797 ttl=64 time=28.3 ms
[2021-08-02 20:30:10.115752] 64 bytes from 172.16.0.2: icmp_seq=798 ttl=64 time=20.6 ms
[2021-08-02 20:30:10.318990] 64 bytes from 172.16.0.2: icmp_seq=799 ttl=64 time=23.0 ms
[2021-08-02 20:30:10.513351] 64 bytes from 172.16.0.2: icmp_seq=800 ttl=64 time=17.3 ms
[2021-08-02 20:30:10.720354] 64 bytes from 172.16.0.2: icmp_seq=801 ttl=64 time=23.8 ms
[2021-08-02 20:30:10.931000] 64 bytes from 172.16.0.2: icmp_seq=802 ttl=64 time=33.4 ms
[2021-08-02 20:30:11.124102] 64 bytes from 172.16.0.2: icmp_seq=803 ttl=64 time=25.8 ms
[2021-08-02 20:30:11.315278] 64 bytes from 172.16.0.2: icmp_seq=804 ttl=64 time=16.0 ms
[2021-08-02 20:30:11.526972] 64 bytes from 172.16.0.2: icmp_seq=805 ttl=64 time=27.3 ms
[2021-08-02 20:30:11.725082] 64 bytes from 172.16.0.2: icmp_seq=806 ttl=64 time=24.8 ms
[2021-08-02 20:30:11.919763] 64 bytes from 172.16.0.2: icmp_seq=807 ttl=64 time=18.4 ms
[2021-08-02 20:30:12.119554] 64 bytes from 172.16.0.2: icmp_seq=808 ttl=64 time=17.6 ms
[2021-08-02 20:30:12.322095] 64 bytes from 172.16.0.2: icmp_seq=809 ttl=64 time=19.3 ms
[2021-08-02 20:30:12.523280] 64 bytes from 172.16.0.2: icmp_seq=810 ttl=64 time=19.8 ms
[2021-08-02 20:30:12.729431] 64 bytes from 172.16.0.2: icmp_seq=811 ttl=64 time=24.9 ms
[2021-08-02 20:30:12.932513] 64 bytes from 172.16.0.2: icmp_seq=812 ttl=64 time=26.8 ms
[2021-08-02 20:30:13.134225] 64 bytes from 172.16.0.2: icmp_seq=813 ttl=64 time=27.5 ms
[2021-08-02 20:30:13.328854] 64 bytes from 172.16.0.2: icmp_seq=814 ttl=64 time=21.1 ms
[2021-08-02 20:30:13.526822] 64 bytes from 172.16.0.2: icmp_seq=815 ttl=64 time=18.5 ms
